ENSEMBL,ENTREZID,SYMBOL,gene_type,pi_value_C1,pi_value_C5,pi_value_C7,pi_value_C1_C5_C7
ENSG00000100362,5816,PVALB,protein_coding,0.114812942,3.634837725,0.004838708,3.634837725
ENSG00000261611,NA,NA,protein_coding,0.061133841,3.628210195,0.119033088,3.628210195
ENSG00000260861,NA,NA,protein_coding,3.587110883,0.072352277,0.001289549,3.587110883
ENSG00000259753,NA,NA,protein_coding,0.65922902,2.038604145,2.663461977,3.579445227
ENSG00000214967,101059938,NPIPA7,protein_coding,0.006112337,1.682635887,2.11751479,3.563006376
ENSG00000156564,57497,LRFN2,protein_coding,4.37927362,0.805770223,0.207498766,3.52868828
ENSG00000285942,255252,LRRC57,protein_coding,0.126323979,0.059365965,3.523667322,3.523667322
ENSG00000180509,3753,KCNE1,protein_coding,3.371838444,0.139825516,0.244788075,3.371838444
ENSG00000146955,401409,RAB19,protein_coding,3.363518659,0.291444141,0.001222262,3.363518659
ENSG00000106089,6804,STX1A,protein_coding,3.363472726,0.008910378,0.300523559,3.363472726
ENSG00000283528,NA,NA,protein_coding,4.595519756,0.71074899,0.006628688,3.266261024
ENSG00000088827,6614,SIGLEC1,protein_coding,1.386584805,0.014344123,2.353765981,3.263696145
ENSG00000177602,83903,HASPIN,protein_coding,2.242103067,1.429911053,0.176402173,3.206007957
ENSG00000149571,84623,KIRREL3,protein_coding,3.191101064,0.108698171,0.03558066,3.191101064
ENSG00000185198,400668,PRSS57,protein_coding,0.249721402,0.117634788,3.108140786,3.108140786
ENSG00000111319,6337,SCNN1A,protein_coding,0.009170906,2.475096202,1.245417342,3.082527732
ENSG00000143473,3756,KCNH1,protein_coding,0.002584008,0.021998562,3.019505213,3.019505213
ENSG00000020577,23034,SAMD4A,protein_coding,0.013533964,0.000251531,3.018525947,3.018525947
ENSG00000144130,284958,NT5DC4,protein_coding,3.010725237,0.010649073,0.000887392,3.010725237
ENSG00000184916,3714,JAG2,protein_coding,2.999148991,0.010115882,0.216499811,2.999148991
ENSG00000154175,25890,ABI3BP,protein_coding,2.690962381,0.274726298,1.087396809,2.926143908
ENSG00000112232,202559,KHDRBS2,protein_coding,0.428975025,2.920745024,0.002888053,2.920745024
ENSG00000197653,196385,DNAH10,protein_coding,2.919972319,7.17E-05,0.044755741,2.919972319
ENSG00000108556,1145,CHRNE,protein_coding,4.44388789,0.649234868,0.037808357,2.885126969
ENSG00000105426,5802,PTPRS,protein_coding,2.862573783,0.192610762,0.001256113,2.862573783
ENSG00000258790,NA,NA,protein_coding,0.000363483,2.834051632,0.149753358,2.834051632
ENSG00000170486,140807,KRT72,protein_coding,2.349368164,1.199993811,0.111788096,2.819227257
ENSG00000184434,64922,LRRC19,protein_coding,1.057587836,2.644614145,0.160141172,2.79691175
ENSG00000183793,100288332,NPIPA5,protein_coding,0.026508812,2.333396437,1.189450102,2.775458629
ENSG00000115138,5443,POMC,protein_coding,2.747418867,0.139900472,0.048800941,2.747418867
ENSG00000102001,778,CACNA1F,protein_coding,2.720585719,0.134694198,0.007161741,2.720585719
ENSG00000172296,55304,SPTLC3,protein_coding,1.767429609,1.524040043,0.036882328,2.693633496
ENSG00000125618,7849,PAX8,protein_coding,2.688026569,0.422937145,0.089830122,2.688026569
ENSG00000179761,51268,PIPOX,protein_coding,2.66886161,0.056602858,0.134505568,2.66886161
ENSG00000188223,NA,NA,protein_coding,0.035555725,4.568322807,0.579758846,2.648525559
ENSG00000160201,7307,U2AF1,protein_coding,2.63393453,0.161336714,0.191580135,2.63393453
ENSG00000143195,387597,ILDR2,protein_coding,0.087008946,2.632598501,0.011078944,2.632598501
ENSG00000163221,6283,S100A12,protein_coding,2.613819719,3.81E-06,0.016121502,2.613819719
ENSG00000203852,333932,HIST2H3A,protein_coding,0.214737889,2.621305289,0.989686667,2.594270895
ENSG00000203546,NA,NA,protein_coding,1.750109626,1.479598943,0.030633206,2.589460352
ENSG00000196826,NA,NA,protein_coding,0.487462696,2.581936582,0.112222084,2.581936582
ENSG00000198892,149345,SHISA4,protein_coding,2.560684878,0.036489416,0.026289144,2.560684878
ENSG00000000971,3075,CFH,protein_coding,2.544365798,0.081907212,0.064681037,2.544365798
ENSG00000160062,653121,ZBTB8A,protein_coding,0.007775455,2.536463045,0.444659573,2.536463045
ENSG00000154380,55740,ENAH,protein_coding,2.534792527,0.175316538,0.020874594,2.534792527
ENSG00000260537,NA,NA,protein_coding,2.528950986,0.040353039,0.016756551,2.528950986
ENSG00000104432,3574,IL7,protein_coding,2.528944689,0.013765847,2.77E-05,2.528944689
ENSG00000104177,50804,MYEF2,protein_coding,2.517456525,0.01151458,0.00030255,2.517456525
ENSG00000172058,8293,SERF1A,protein_coding,0.565727916,4.728828509,0.94035489,2.515665895
ENSG00000259040,100526836,BLOC1S5-TXNDC5,protein_coding,0.116619942,2.505650934,0.13741022,2.505650934
ENSG00000148935,2620,GAS2,protein_coding,0.297075171,2.499584487,0.01928208,2.499584487
ENSG00000258644,100529257,SYNJ2BP-COX16,protein_coding,0.236992088,2.487129644,0.076362503,2.487129644
ENSG00000163380,56203,LMOD3,protein_coding,2.486771064,4.01E-05,0.025163767,2.486771064
ENSG00000091536,51168,MYO15A,protein_coding,2.460405259,0.081396348,0.080820142,2.460405259
ENSG00000099958,91319,DERL3,protein_coding,2.448716201,0.000221069,0.03013444,2.448716201
ENSG00000143546,6279,S100A8,protein_coding,2.437732854,0.005896071,2.53E-05,2.437732854
ENSG00000075218,51512,GTSE1,protein_coding,2.432606605,0.01453802,0.076288033,2.432606605
ENSG00000204983,5644,PRSS1,protein_coding,1.661897029,1.460285468,0.000403173,2.42684408
ENSG00000189337,23254,KAZN,protein_coding,1.690096228,0.080651452,1.433622201,2.422959474
ENSG00000271741,NA,NA,protein_coding,0.045154299,2.420708303,0.002714603,2.420708303
ENSG00000105948,79989,TTC26,protein_coding,1.137590878,0.109213459,2.122798072,2.414875724
ENSG00000269313,79917,MAGIX,protein_coding,2.412268698,0.03462257,0.01311414,2.412268698
ENSG00000213889,147699,PPM1N,protein_coding,2.403905273,0.140489001,0.03979088,2.403905273
