ENSEMBL,logFC,P.Value
ENSG00000107968,-0.226154189,0.086650096
ENSG00000166349,-0.795880629,0.086713937
ENSG00000197409,1.439833596,0.086733506
ENSG00000198523,-0.628543687,0.086773777
ENSG00000104133,-0.22473417,0.086782687
ENSG00000186105,-0.511814498,0.086885198
ENSG00000112486,1.293137457,0.087054063
ENSG00000173230,-0.202004702,0.087320148
ENSG00000085563,-0.752875692,0.087476473
ENSG00000111817,-0.32067854,0.087755074
ENSG00000183617,0.374953243,0.087779714
ENSG00000125520,0.302137938,0.087960317
ENSG00000105136,0.415854339,0.087962636
ENSG00000110811,1.089336432,0.088104362
ENSG00000277775,0.773851407,0.088113698
ENSG00000251369,0.394198076,0.088140978
ENSG00000109927,-1.018563048,0.08853862
ENSG00000089022,0.215519956,0.088564487
ENSG00000004866,-0.386018831,0.088570379
ENSG00000074603,-0.150975867,0.088667329
ENSG00000177981,0.219935425,0.089059523
ENSG00000101842,0.875546165,0.089105817
ENSG00000123395,0.323688808,0.089193265
ENSG00000196787,0.514039936,0.089423153
ENSG00000151466,-0.345306584,0.089661875
ENSG00000168672,0.592385288,0.089732656
ENSG00000138794,0.466785231,0.089801205
ENSG00000117586,-0.652465404,0.089816548
ENSG00000267645,-2.77295176,0.090024632
ENSG00000176148,-0.319610021,0.090477682
ENSG00000103034,0.580595867,0.09073158
ENSG00000156508,0.478005045,0.09094623
ENSG00000184497,0.778869233,0.091035167
ENSG00000100147,0.426468497,0.091072795
ENSG00000004779,0.437992925,0.091274201
ENSG00000104361,-0.532122208,0.091286138
ENSG00000126456,0.208675717,0.091347027
ENSG00000157578,-1.162237159,0.091701281
ENSG00000196449,0.343557377,0.091841902
ENSG00000259171,-2.029881476,0.091908995
ENSG00000149970,0.761563641,0.092193321
ENSG00000103995,-0.317289757,0.092207889
ENSG00000154380,-1.222093698,0.092244618
ENSG00000105426,0.603129363,0.092470561
ENSG00000168175,-0.186605403,0.092471128
ENSG00000162881,0.548110759,0.092544869
ENSG00000131507,0.16213847,0.092749511
ENSG00000160753,0.317570283,0.092943273
ENSG00000146376,-0.3462669,0.093196947
ENSG00000146006,-0.991680002,0.093216452
ENSG00000091972,0.860609548,0.093290328
ENSG00000267059,2.109353685,0.093447737
ENSG00000050426,0.234905541,0.093618582
ENSG00000060688,0.286898167,0.093665558
ENSG00000138668,-0.262795839,0.093743203
ENSG00000169136,0.485385375,0.093766283
ENSG00000102001,0.965808751,0.093797364
ENSG00000185527,1.068877795,0.093866601
ENSG00000106258,-0.425618369,0.093926516
ENSG00000215529,-1.065210986,0.094092862
ENSG00000197238,0.475814265,0.094293395
ENSG00000130204,0.289980546,0.094588553
ENSG00000168958,0.178367267,0.095010991
ENSG00000188738,0.896918475,0.095035086
ENSG00000110777,0.726794852,0.095132266
ENSG00000185189,-0.471718836,0.095664979
ENSG00000204257,0.388906263,0.095709095
ENSG00000276903,0.739241509,0.095947919
ENSG00000142945,1.067724232,0.09602756
ENSG00000107833,0.778373187,0.096241981
ENSG00000172296,1.156393755,0.096465599
